"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
17.93,37.55,139,2,66.56,2.42,"Delta","auth","baja","success"
12.8,8.23,139,2,85.25,0.01,"Beta","database","baja","success"
15.01,38.43,166,2,94.01,29.7,"Gamma","auth","baja","success"
7.08,9.75,154,1,59.26,3.88,"Beta","analytics","media","success"
28.06,7.82,142,2,71.08,23.89,"Alpha","auth","baja","failed"
18.1,28.2,145,2,78.51,10.27,"Alpha","database","alta","failed"
13.22,18.48,141,4,75.24,13.91,"Gamma","auth","crítica","success"
14.78,16.09,161,3,81.05,23.27,"Gamma","database","baja","success"
18.45,23.09,156,3,70.61,20.79,"Gamma","auth","crítica","success"
13.22,21.95,157,2,82.86,78.03,"Alpha","api","baja","success"
29.27,6.86,154,3,63.38,1.83,"Beta","ui","alta","success"
10.78,34.25,166,1,78.85,0.13,"Delta","analytics","baja","failed"
17.52,17.01,134,0,65.19,10.61,"Beta","auth","baja","failed"
26.01,37.12,155,1,90.95,5.08,"Gamma","database","baja","success"
7.41,22.85,129,0,71.66,6.17,"Gamma","api","media","rolled_back"
14.66,10.32,158,1,92.43,16.46,"Beta","analytics","baja","success"
27.56,9.08,125,1,79.01,2.46,"Gamma","api","baja","success"
14.14,43.72,141,3,68.78,22.65,"Alpha","api","baja","success"
4.78,6.32,142,1,88.85,0.39,"Gamma","api","alta","success"
5.61,2.99,136,1,86.79,23.93,"Alpha","database","media","rolled_back"
19.33,11.67,174,2,71.77,6.86,"Beta","auth","media","success"
20.68,6.99,161,1,60.93,8.43,"Gamma","database","baja","success"
28.3,7.32,159,3,88.68,9.21,"Gamma","auth","crítica","failed"
5.63,34.27,129,1,73.74,28.75,"Delta","ui","alta","failed"
19.31,20.58,146,2,71.97,33.18,"Beta","database","media","success"
16.44,16.78,157,3,77.5,2.34,"Alpha","database","baja","rolled_back"
6.48,11.48,156,1,82.57,47.84,"Beta","database","baja","success"
16.48,4.81,153,2,58.42,69.47,"Beta","auth","media","failed"
13.52,30.52,156,3,64.76,0.89,"Beta","auth","media","rolled_back"
6.67,43.46,169,1,80.51,5.17,"Alpha","analytics","baja","success"
11.56,31.85,149,4,67.27,5.44,"Delta","ui","media","success"
6.44,14.07,153,1,88.88,20.05,"Gamma","ui","baja","success"
10.84,22.87,154,3,64.77,15.5,"Gamma","ui","baja","success"
5.34,22.43,158,1,87.36,3.4,"Beta","api","baja","success"
19.84,20.02,152,2,85.34,18.11,"Delta","api","media","success"
25.93,4.41,128,3,77.63,24.63,"Beta","ui","media","success"
9.02,11.36,151,1,75.24,13.57,"Beta","analytics","baja","success"
18.32,14.49,144,4,88.07,1.03,"Alpha","analytics","media","success"
19.8,49.12,161,1,72.72,6.04,"Beta","ui","baja","failed"
8.47,27.78,146,0,63.06,8.2,"Alpha","database","crítica","success"
23.15,12.49,149,2,56.89,31.38,"Gamma","analytics","baja","success"
13.46,18.99,144,3,73.06,48.01,"Beta","api","baja","failed"
12.3,16.56,165,2,82.3,12.87,"Alpha","analytics","media","success"
30.38,11.74,143,0,75.24,8.18,"Gamma","auth","baja","success"
20.8,64.68,150,5,66.54,37.24,"Beta","api","media","success"
6.43,20.19,140,6,80.17,30.74,"Beta","auth","baja","success"
9.66,21.69,152,4,45.03,35.45,"Gamma","analytics","media","success"
1.39,15.64,159,1,62.91,15.93,"Gamma","api","crítica","success"
4.05,11.43,157,3,62.59,83.12,"Delta","analytics","baja","success"
10.98,6.48,137,2,96.78,4.64,"Gamma","auth","crítica","rolled_back"
3.58,8.89,141,1,88.97,2.78,"Alpha","analytics","baja","success"
12.15,44.09,145,4,79.96,16.24,"Gamma","api","baja","success"
12.49,20.8,127,1,87.22,13.95,"Beta","auth","baja","success"
6.49,7.53,160,2,82.15,13.55,"Delta","api","baja","success"
27.37,49.65,181,1,88.8,48.77,"Delta","api","media","success"
9.06,13.48,135,4,48.84,3.23,"Alpha","ui","media","rolled_back"
9.97,12.18,141,2,88.43,33.14,"Gamma","analytics","media","success"
6.47,5.85,152,2,99.96,4.34,"Alpha","database","baja","success"
34.04,5.55,129,3,86.43,5.85,"Gamma","ui","baja","success"
13.18,18.05,146,1,71.8,43.83,"Gamma","database","alta","success"
20.58,18.4,157,3,50.26,42.14,"Gamma","ui","media","success"
10.75,14.64,172,1,74.62,8.41,"Gamma","auth","baja","success"
9.82,12.03,148,1,73.79,15.02,"Alpha","auth","media","success"
29.42,15.44,140,3,75.58,4.01,"Beta","ui","alta","success"
20.27,17.08,136,2,72.46,12.83,"Delta","database","crítica","success"
11.34,37.71,130,2,52.46,44.28,"Gamma","ui","alta","success"
5.98,8.06,156,4,73.26,3.05,"Gamma","database","alta","success"
16.61,28.22,141,3,80.02,4.12,"Gamma","auth","media","success"
12.45,26.05,134,2,79.69,10.19,"Gamma","auth","alta","success"
15.79,34.33,152,0,69.23,33.25,"Alpha","ui","baja","success"
33.98,32.25,176,2,60.37,44.7,"Gamma","ui","crítica","success"
14.2,8.94,151,1,77.59,64.24,"Gamma","database","alta","success"
26.48,1.82,147,0,66.78,3.24,"Delta","analytics","baja","success"
8.47,14.31,146,2,74.03,27.71,"Gamma","database","media","success"
18.65,36.21,139,1,87.96,1.23,"Gamma","database","alta","success"
17.27,16.43,154,2,65,5.38,"Alpha","analytics","alta","success"
6.76,18.7,148,2,79.46,1.39,"Delta","auth","baja","success"
21.17,20.57,159,4,65.12,21.1,"Alpha","api","media","success"
11.91,20.51,150,2,90.25,6.22,"Beta","api","baja","success"
14.58,15.21,169,5,75.63,20.18,"Gamma","api","media","success"
4.36,9.22,162,2,72.34,17.29,"Beta","auth","baja","success"
4.04,25.01,146,0,53.79,15.96,"Alpha","api","baja","success"
15.9,12.03,144,2,72.49,12.47,"Delta","database","baja","success"
17.57,15.89,166,4,66.29,24.46,"Delta","analytics","baja","rolled_back"
30.97,15.02,155,5,83.6,30.81,"Gamma","ui","media","success"
13.54,2.97,159,5,75.46,73.89,"Alpha","api","crítica","success"
1.69,12.38,151,4,80.62,42.96,"Beta","ui","baja","success"
10.93,21.31,153,1,84.58,35.94,"Beta","api","alta","success"
34.08,18.98,151,2,62.84,4.87,"Alpha","database","baja","success"
30.81,16.36,166,3,60.19,84.83,"Alpha","analytics","baja","failed"
3.23,24.16,163,1,86.68,4.98,"Delta","analytics","baja","success"
33.79,27.98,157,4,68.51,29.83,"Delta","auth","crítica","success"
13.37,61.15,120,2,93.56,8.63,"Gamma","ui","media","success"
11.84,33.12,184,3,59.43,5.61,"Alpha","database","crítica","success"
12.78,18.06,167,2,91.58,22.86,"Alpha","analytics","baja","success"
13.42,7.25,175,3,100,13.57,"Delta","database","baja","success"
25.81,2.71,130,1,100,13.8,"Delta","api","baja","success"
5.48,74.46,150,2,88.81,1.47,"Delta","database","alta","success"
3.3,25.91,133,1,89.1,3.03,"Gamma","database","alta","success"
16.91,2.14,157,3,83.34,10.58,"Alpha","auth","alta","failed"
10.72,20.05,153,3,73.89,25.9,"Beta","database","baja","failed"
16.28,52.88,147,4,67.97,63.72,"Alpha","analytics","media","success"
21.85,18.21,139,2,63.08,7.4,"Delta","auth","media","success"
34.21,15.42,143,1,79.5,18.2,"Gamma","ui","alta","failed"
14.51,23.01,145,1,92.85,27.35,"Gamma","ui","media","success"
6.16,2.3,153,2,64.2,27.54,"Gamma","ui","media","success"
14.08,21.73,148,2,76.02,40.61,"Beta","auth","alta","success"
5.23,13.61,128,2,78.14,5.25,"Alpha","api","baja","success"
24.32,44.41,154,3,NA,27.26,"Delta","database","crítica","success"
3.97,16.99,139,3,72.04,33.35,"Beta","ui","baja","success"
12.19,20.69,125,6,71.58,20.57,"Delta","ui","baja","success"
12.29,8.53,155,2,53.96,16.92,"Delta","analytics","baja","success"
8.8,16.9,127,1,85.38,11.51,"Delta","database","alta","success"
5.34,19.89,172,3,91.49,6.88,"Beta","auth","baja","success"
20.45,9.73,140,1,81,1.38,"Delta","database","baja","success"
24.28,30.56,145,1,79.44,19.7,"Beta","api","alta","success"
5.57,28.13,151,4,75.23,2.32,"Beta","database","baja","failed"
5.66,29.11,136,1,56.1,63.43,"Alpha","api","alta","success"
8.8,25.5,150,5,94.77,0.6,"Delta","ui","baja","success"
5.75,30.37,130,2,66.64,23.26,"Gamma","analytics","crítica","success"
14.11,18.03,152,3,76.23,1.13,"Delta","analytics","baja","failed"
27.18,43.2,161,2,69.87,20.08,"Alpha","ui","media","success"
5.11,20.41,144,1,86.75,1.96,"Delta","ui","baja","success"
2.15,33.44,155,3,88.06,10.84,"Beta","ui","baja","success"
8.06,8.46,150,5,76.5,8.99,"Alpha","analytics","baja","success"
19.76,38.13,153,1,64.74,4.77,"Beta","ui","alta","success"
11.04,42.26,138,1,71.2,29.97,"Alpha","auth","alta","success"
13.13,8.97,138,2,65.41,43.45,"Gamma","analytics","baja","success"
7,20.1,143,1,82.01,1.02,"Beta","auth","baja","success"
12.86,25.84,177,0,71.16,36.09,"Delta","auth","baja","success"
13.78,30.83,134,2,69.95,1.26,"Beta","analytics","alta","success"
16.14,5.74,168,2,83.72,15.25,"Beta","auth","baja","success"
9.56,29.72,174,5,58.15,20.6,"Gamma","analytics","media","success"
6.72,9.36,156,1,86.93,13.64,"Gamma","ui","baja","failed"
4.61,11.22,155,3,85.77,20.86,"Alpha","ui","media","success"
8.26,15.18,135,2,60.35,5,"Delta","analytics","alta","success"
19.86,32.46,166,2,73.78,25.91,"Delta","ui","media","success"
53.07,24.76,170,4,100,25.18,"Beta","api","baja","success"
18.69,18.88,120,3,100,12.3,"Beta","ui","baja","success"
19.51,15.05,153,3,81.66,2.36,"Beta","ui","alta","success"
17.39,13.64,160,1,77.26,17.66,"Delta","api","media","success"
21.33,23.97,142,0,59.67,18.66,"Gamma","ui","baja","success"
42.25,5.56,146,2,74.15,6.64,"Beta","auth","media","success"
12.23,20.04,135,2,84.13,2.77,"Delta","database","crítica","success"
2.95,26.56,140,2,79.52,7.89,"Alpha","database","crítica","success"
8.37,18.71,147,1,66.52,8.29,"Beta","ui","alta","success"
12.81,12.91,135,6,77.04,25.59,"Delta","analytics","crítica","success"
18.99,10.98,168,1,76.41,23.51,"Delta","api","baja","success"
11.37,15.3,152,0,100,38.2,"Gamma","auth","media","success"
12.99,13.2,145,1,85.92,0.28,"Alpha","api","crítica","success"
9.67,51.52,146,3,62.6,1.6,"Beta","analytics","baja","success"
4.59,7.87,148,3,100,18.82,"Alpha","database","media","success"
9.15,11.29,129,1,96.6,NA,"Alpha","auth","baja","success"
7.22,19.53,140,3,78.75,9.66,"Beta","api","media","rolled_back"
16.92,15.59,151,1,64.2,30.59,"Beta","database","media","success"
11.08,9.55,172,1,64.88,1.4,"Beta","api","media","success"
9.43,14.47,146,2,67.12,14.19,"Beta","database","crítica","rolled_back"
7.58,20.21,146,2,80.27,17.36,"Delta","database","baja","rolled_back"
4.63,21.77,156,3,68.03,0.07,"Alpha","auth","media","rolled_back"
17.38,9.11,163,3,71.8,27.26,"Alpha","auth","baja","success"
4.83,2.78,144,2,71.55,4.21,"Beta","analytics","alta","success"
12.91,26.77,169,3,75.04,1.76,"Gamma","api","media","success"
12.5,44.01,157,0,68.72,5.44,"Gamma","api","baja","success"
26.25,28.56,149,1,75.8,8.12,"Alpha","api","baja","failed"
29.48,11.68,152,2,66.7,53.67,"Delta","analytics","media","success"
16.92,4.17,150,2,74.05,14.38,"Alpha","api","alta","success"
12.12,2.66,156,2,73.84,35.51,"Delta","api","media","success"
11.96,1.98,159,1,70.1,36.08,"Gamma","ui","alta","success"
24.75,28.9,124,1,63.31,7.2,"Delta","database","alta","success"
20.94,41.53,127,1,66.84,21.43,"Alpha","database","media","success"
18.9,41.44,156,5,82.54,13.16,"Alpha","api","baja","rolled_back"
11.02,3.43,143,0,77.88,50.02,"Gamma","ui","alta","success"
11.93,2.35,150,1,79.74,0.23,"Beta","auth","media","success"
10.47,12.91,154,0,82.11,72.34,"Alpha","database","alta","success"
7.16,26.03,137,0,67.34,10.7,"Beta","database","baja","success"
10.1,30.28,141,3,67.98,14.05,"Gamma","auth","baja","success"
18.36,27.6,151,0,75.56,11.82,"Gamma","analytics","alta","success"
9.3,22.97,123,3,59.99,11.52,"Alpha","database","alta","success"
5.05,18.2,162,1,57.03,26.05,"Beta","database","crítica","success"
14.77,10.42,143,2,63.93,1.33,"Beta","auth","alta","success"
23.32,10.44,138,1,73.68,4.69,"Alpha","auth","media","success"
2.74,20.78,144,3,92.54,1.99,"Alpha","auth","media","rolled_back"
28.38,26.33,159,1,91.2,7.26,"Alpha","api","crítica","success"
11.64,5.31,168,2,67.9,28.73,"Delta","ui","alta","success"
6.78,16.58,136,0,63.13,74.99,"Delta","analytics","baja","failed"
17.16,6.75,145,0,71.28,39.76,"Gamma","ui","alta","success"
8.66,9.1,148,2,81.81,15.64,"Beta","auth","baja","success"
23.65,11.09,151,4,78.39,9.25,"Alpha","analytics","baja","success"
10.31,27.37,133,2,74.46,19.54,"Delta","auth","alta","rolled_back"
17.65,5.76,137,2,71.79,9.12,"Delta","api","media","rolled_back"
8.66,53.82,154,6,86.8,0.21,"Alpha","auth","media","success"
6.69,7.17,158,3,77.22,36.55,"Beta","auth","media","success"
10.07,28.27,156,2,81.29,8.74,"Beta","api","baja","success"
9.98,28.59,142,2,87.87,38.12,"Gamma","database","baja","success"
14.62,49.08,131,2,57.09,14.66,"Delta","database","crítica","success"
29.94,5.6,165,0,84.59,2.24,"Gamma","analytics","media","success"
25.67,12.69,163,1,85.3,1.3,"Beta","auth","baja","success"
12.05,19.13,166,4,69.71,122.56,"Beta","database","alta","success"
15.41,19.13,153,7,70,4.55,"Alpha","auth","baja","success"
28.69,59.14,141,3,76.22,30.06,"Beta","auth","alta","success"
13.21,16.65,154,3,87.42,17.86,"Alpha","api","baja","success"
24.22,23.7,142,0,54.54,7.35,"Beta","ui","alta","success"
2.88,26.48,169,1,78.74,6.6,"Gamma","auth","alta","success"
10.15,4.45,151,0,85.04,17.75,"Delta","database","baja","failed"
10.41,2.39,142,2,80.71,15.28,"Alpha","ui","baja","success"
7.88,27.56,173,2,71.88,3.14,"Gamma","analytics","media","success"
30.6,12.66,144,4,81.24,53.49,"Gamma","api","alta","failed"
38.98,28.72,173,2,93.72,60.99,"Delta","ui","alta","success"
5.44,33.9,156,1,81.58,6.53,"Gamma","api","alta","failed"
16.5,13.69,170,0,97.76,3.47,"Gamma","ui","alta","success"
10.74,18.81,175,1,57.92,45.74,"Beta","analytics","alta","failed"
10.83,6.56,138,1,68.4,6.16,"Beta","ui","baja","success"
42.28,23.34,186,3,65.63,14.14,"Gamma","api","baja","rolled_back"
12.94,20.58,146,5,67.06,2.84,"Delta","database","baja","success"
12.89,8.43,140,3,83.26,3.84,"Delta","api","media","success"
8.35,6.06,151,2,88.72,34.7,"Beta","database","media","success"
26.12,21.43,158,1,97.27,3.14,"Gamma","api","baja","success"
14.93,7.66,147,2,85.97,14.45,"Gamma","analytics","alta","success"
14.96,16.77,158,0,90.1,128.87,"Gamma","auth","media","success"
3.87,10.45,177,0,60.87,7.28,"Alpha","ui","baja","success"
7.56,7.97,145,0,87.25,4.72,"Delta","database","alta","success"
2.76,25.61,165,0,67.65,32.52,"Gamma","analytics","baja","success"
7.27,27.94,140,2,70.14,6.78,"Alpha","ui","baja","failed"
3.09,14.71,146,6,78.35,0.77,"Gamma","auth","baja","success"
42.3,9.43,163,0,72.85,17.6,"Gamma","auth","crítica","failed"
5.36,19.8,139,2,55.17,28.94,"Gamma","database","media","success"
20.51,18.24,151,5,86.17,4.4,"Alpha","ui","alta","success"
12.92,9.51,135,2,76.31,1.58,"Gamma","database","media","success"
8.48,29.98,176,1,69.26,15.86,"Alpha","analytics","baja","failed"
2.36,55.75,157,0,83.46,13.91,"Delta","auth","alta","success"
11.23,2.65,148,2,67.33,24.75,"Delta","database","media","success"
16.39,6.07,149,3,69.15,46.85,"Gamma","database","crítica","failed"
6.9,51.76,151,1,77.74,0.53,"Beta","ui","media","success"
3.27,18.91,158,1,94.26,8.61,"Delta","analytics","baja","success"
9.42,22.38,160,2,75.17,7.2,"Delta","api","alta","success"
25.06,18.1,172,3,61,22.92,"Gamma","api","baja","success"
25.66,18,170,3,53.59,49.97,"Delta","ui","baja","rolled_back"
3.56,19.41,151,3,75.18,9.18,"Alpha","api","baja","success"
4.32,9.38,150,0,76.78,42.68,"Beta","database","baja","success"
0.99,44.07,143,1,94.71,1.7,"Gamma","analytics","media","success"
9.51,9.78,143,1,59.59,8.22,"Gamma","api","alta","success"
4.88,24.26,167,2,75.66,42.03,"Delta","ui","crítica","success"
28.57,10.62,170,1,68.78,4.9,"Beta","auth","crítica","failed"
18.78,24.01,147,2,67.46,9.12,"Beta","api","media","rolled_back"
46.94,3.1,148,2,88.56,1.66,"Beta","analytics","baja","success"
7,18.74,149,1,89.86,4.43,"Alpha","database","baja","success"
34.55,7.99,152,3,59.39,12.4,"Alpha","database","baja","success"
5.07,24.44,163,4,85.61,43.16,"Gamma","api","crítica","success"
5.4,39.22,168,0,62.91,2.08,"Beta","analytics","alta","success"
11.48,5.68,137,3,70.92,5.51,"Gamma","auth","alta","success"
24.99,48.63,143,1,80.34,49.61,"Beta","database","alta","success"
19.14,6.28,160,2,61.6,5.85,"Beta","database","media","success"
30.38,24.67,140,2,73.24,13.7,"Gamma","auth","alta","success"
12.78,70.71,133,3,69.46,22.84,"Beta","auth","alta","success"
9.55,10.6,141,5,81.55,7.44,"Gamma","api","baja","success"
10.76,34.37,156,1,72.12,29.71,"Alpha","api","baja","success"
10.82,6.01,173,3,61.54,16.46,"Alpha","database","baja","success"
10.36,21.92,159,1,61.97,3.74,"Beta","auth","media","success"
20.13,20.48,149,1,71.43,9.77,"Beta","api","media","success"
16.46,29.91,148,5,68.03,26.68,"Gamma","ui","crítica","success"
16.05,12.52,143,1,68.9,6.54,"Alpha","auth","alta","success"
20.63,2.73,137,0,89.27,8.52,"Alpha","auth","media","failed"
24.75,73.08,145,0,72.17,8.32,"Beta","analytics","baja","success"
6.55,14.6,136,2,67.4,6.33,"Beta","ui","baja","success"
10.65,35.12,168,1,90.99,52.29,"Beta","api","media","success"
14.07,19.81,148,3,53.38,16.69,"Alpha","auth","baja","success"
6.37,24.86,155,2,65.47,3.02,"Gamma","database","alta","success"
17.34,10.69,155,3,71.89,34.64,"Gamma","ui","baja","failed"
11.13,8.48,128,0,55.47,5.19,"Gamma","auth","baja","success"
19.84,29.03,158,0,NA,3.59,"Alpha","analytics","alta","success"
7.47,22.35,146,0,68.48,1.94,"Gamma","database","baja","success"
8.11,9.17,151,1,51.08,13.61,"Gamma","ui","crítica","failed"
4.36,22.4,140,1,62.96,1.71,"Alpha","auth","media","success"
4.87,67.91,160,3,49.41,7.37,"Gamma","auth","baja","failed"
40.69,11.71,140,1,84.68,12.47,"Alpha","database","baja","success"
12.48,4.98,156,3,65.99,23.75,"Alpha","auth","alta","success"
17.53,31.68,136,4,90.72,14.03,"Gamma","database","media","rolled_back"
20.47,22.89,159,3,89.5,26.9,"Beta","ui","baja","success"
13.83,1.98,156,2,100,14.33,"Beta","analytics","media","success"
6.62,29.4,132,0,84.52,65.11,"Delta","ui","crítica","success"
4.71,19.22,174,2,96.51,39.42,"Alpha","database","media","success"
8.68,32.07,149,4,69.28,1.49,"Delta","database","baja","success"
9.45,3.33,143,0,70.31,4.07,"Beta","ui","alta","success"
10.09,36.69,126,1,69.22,21.41,"Gamma","database","alta","success"
36.51,5.41,147,2,62.33,1.31,"Gamma","ui","media","success"
33.85,21.88,121,1,79.64,28.15,"Delta","auth","baja","success"
35.33,9.73,155,1,85.06,32.54,"Delta","database","media","failed"
4.03,14.92,171,1,82.37,3.33,"Alpha","ui","baja","failed"
10,7.89,151,1,72.82,13.73,"Delta","auth","baja","success"
6.69,7.26,124,0,55.55,11.51,"Beta","analytics","alta","success"
51.06,63.04,142,1,77.47,12.39,"Beta","database","media","success"
20.84,18.15,144,0,81.36,11.53,"Alpha","database","baja","success"
4.78,48.39,143,2,62.08,4.39,"Beta","analytics","baja","success"
20.91,24.85,153,2,64.43,43.7,"Gamma","analytics","baja","success"
13.06,9.04,167,3,NA,9.25,"Beta","api","crítica","failed"
8.45,23.48,160,1,76.48,2.93,"Gamma","api","baja","success"
5.2,30.68,132,1,83.42,15.11,"Delta","api","media","success"
16.87,25.01,145,2,91.26,8.24,"Gamma","database","baja","rolled_back"
7.62,5.54,185,3,90.15,8.07,"Gamma","api","alta","success"
13.82,29.06,161,2,54.85,2.02,"Beta","auth","media","failed"
11.99,5.06,176,4,73.72,2.6,"Beta","api","crítica","success"
16.42,12.02,148,1,81.38,12.83,"Gamma","auth","alta","success"
40.32,18.73,142,0,78.97,17.63,"Gamma","auth","alta","success"
8.05,22.1,145,2,93.66,75.54,"Alpha","analytics","alta","success"
4.06,20.03,136,1,61.81,49.84,"Gamma","auth","baja","success"
3.2,8.39,170,1,97.25,1.04,"Beta","ui","baja","success"
3.64,13.27,150,3,79.09,7.64,"Beta","ui","media","success"
20.4,5.3,177,1,94.94,15.13,"Delta","auth","crítica","success"
19.13,22.11,152,1,56.91,5.93,"Beta","analytics","baja","success"
14.99,7.16,154,1,78.1,5.01,"Delta","analytics","alta","success"
27.09,5.6,129,1,75.14,24.35,"Alpha","auth","baja","failed"
3.35,12.78,162,0,72.54,6.61,"Alpha","api","baja","failed"
19.79,9.25,147,2,71.49,39.25,"Delta","auth","media","success"
25.18,16.16,141,2,68.99,15.57,"Delta","auth","media","failed"
24.86,12.27,158,1,83.74,30.13,"Delta","auth","media","success"
9.61,28.02,158,3,71.06,11.4,"Gamma","database","baja","success"
13.13,32.64,161,1,50.83,11.21,"Alpha","database","baja","failed"
24.1,19.34,167,1,70.03,17.24,"Gamma","analytics","crítica","success"
35.21,11.5,148,1,83.66,27.43,"Beta","analytics","media","failed"
16.06,33.74,171,0,92.94,30.22,"Beta","api","media","success"
21.53,11.83,143,2,91,5.01,"Alpha","ui","media","success"
19.98,22.18,164,3,82.96,18.53,"Beta","analytics","crítica","success"
7.82,16.48,145,2,76.4,23.17,"Beta","database","baja","success"
34.22,1.65,146,4,79.55,8.33,"Alpha","api","alta","success"
10.25,18.56,134,0,64.57,13.88,"Gamma","api","crítica","success"
8.78,12.4,147,1,75.14,5.49,"Alpha","database","media","failed"
21.99,9.99,168,2,84.16,27.58,"Gamma","api","crítica","success"
15.79,18.16,145,2,61.49,36.9,"Delta","analytics","alta","failed"
8.94,10.89,138,0,76.27,53.15,"Gamma","auth","baja","success"
14.75,26.47,170,1,59.1,9.15,"Delta","auth","baja","success"
23.04,15.7,160,1,70.4,42.69,"Alpha","ui","media","success"
20.01,10.28,150,2,85.54,14.22,"Alpha","database","crítica","success"
7.86,33.92,155,4,79.06,19.64,"Alpha","analytics","media","success"
12.97,46.55,165,0,78.52,0.98,"Beta","analytics","alta","failed"
12.26,40.32,158,2,91.32,2.81,"Alpha","api","baja","failed"
21.67,10.33,135,2,71.67,22.73,"Beta","api","baja","success"
19.11,9.11,152,1,94.37,10.67,"Delta","api","baja","success"
8.04,11.99,120,2,96.09,1.23,"Delta","auth","baja","success"
19.99,5.82,149,2,73.47,1.71,"Alpha","analytics","baja","success"
18.54,7.1,144,2,60.01,9.82,"Beta","api","media","success"
18.46,6.82,164,2,51.75,3.29,"Gamma","api","baja","success"
24.39,6.11,158,2,73.53,1.27,"Gamma","database","baja","success"
19.65,16.68,180,2,71.68,0.83,"Beta","analytics","baja","success"
8.38,25.39,144,5,78.85,3.87,"Delta","database","baja","success"
15.88,3.18,158,0,81.81,3.07,"Gamma","analytics","crítica","success"
15.29,32.17,144,0,83.67,1,"Beta","auth","media","success"
13.05,20.15,144,3,74.9,5.22,"Gamma","ui","alta","failed"
8.13,22.97,158,2,83.91,8.45,"Delta","analytics","baja","success"
19.94,5.24,149,2,69.96,51.96,"Alpha","ui","media","success"
14.56,11.06,160,1,99.37,8.12,"Delta","analytics","media","success"
16.42,3.79,149,4,53.2,5.29,"Alpha","analytics","crítica","success"
20.07,18.31,166,1,79.36,4.16,"Beta","database","media","success"
12.17,12.21,160,0,81.13,51.93,"Beta","database","media","success"
24.33,19.04,161,0,69.5,12.45,"Gamma","analytics","crítica","failed"
23.2,3.57,178,3,89.7,6.17,"Beta","api","baja","success"
12.05,10.59,163,3,69.39,12.73,"Beta","analytics","baja","success"
8.16,5.63,177,1,82.62,25.16,"Beta","api","alta","success"
9.28,12.65,132,2,82.4,4.39,"Alpha","database","alta","success"
18.59,16.2,125,4,75.88,0.5,"Alpha","database","baja","success"
8.21,10.12,164,1,78.3,1.31,"Beta","ui","baja","success"
26.18,13.15,176,4,76.61,17.14,"Alpha","database","alta","failed"
18.89,13.79,160,2,63.48,14.42,"Beta","api","crítica","success"
21.52,7.66,167,2,55.4,10.07,"Alpha","auth","media","rolled_back"
11.01,12.05,148,3,82.92,20.97,"Gamma","database","baja","success"
22.46,9.88,139,2,68.16,2.87,"Alpha","analytics","alta","success"
